id,Name,Country,Continent,Dif,Description
64,Chiczten Izta,Mexico,North America,0,"Chichen Itza is aarge pre-Columbian archaeological site in Mexico's Yucatan Peninsula. The site's El Castillo pyramid is famous for its impressive astronomical precision and intriguing acoustic properties. At its height, Chichen Itza was a center of trade, politics, and religionof the Maya civilization. It is a UNESCO World Heritage Site since 1988 and a popular tourist destination."
33,The Alhambra,Spain,Europe,1,"The Alhambra is a palace and fortress complex located in Granada, Spain built during the mid-14th century. It features elaborate Islamic architecture, including tilework and beautiful gardens. The name ""Alhambra"" comes from the Arabic words for ""red castle,"" due to its reddish color."
41,Tokyo Tower,Japan,Asia,1,"The Tokyo Tower is a communications and observation tower located in the Minato ward of Tokyo, Japan. Standing at 332.9 meters tall, it is the second-tallest structure in Japan. The tower is painted in an orange and white color scheme and is inspired in the Eiffel Tower in Paris. Visitors can ascend to the observation deck for panoramic views of the city or dine in one of the tower's restaurants."
57,Golden Gate Bridge,United States,North America,0,"The Golden Gate Bridge is a suspension bridge spanning the Golden Gate strait in San Francisco, California. Completed in 1937, it is considered an engineering marvel with its distinctive orange color and towers that are approximately 227 meters tall. The bridge's main span measures about 2.7 kilometers long and was once the longest suspension bridge in the world."
70,Moai Statues,Chile,South America,0,"The Moai statues are monolithic human figures carved by the Rapa Nui people on Easter Island, Chile between 1250 and 1500 CE. These statues stand up to 10 meters tall and weigh up to 75 tons. The Moai are a testament to the remarkable engineering skills of the Rapa Nui people and remain a mystery to this day, as there is no definitive answer as to why or how they were created."
57,Golden Gate Bridge,United States,North America,0,"The Golden Gate Bridge is a suspension bridge spanning the Golden Gate strait in San Francisco, California. Completed in 1937, it is considered an engineering marvel with its distinctive orange color and towers that are approximately 227 meters tall. The bridge's main span measures about 2.7 kilometers long and was once the longest suspension bridge in the world."
140,Hungarian Parliament Building,Hungary,Europe,0,"The Hungarian Parliament Building is a magnificent example of Neo-Gothic architecture, located in Budapest, Hungary. Completed in 1904, the building features 691 rooms, including the Hungarian Crown Jewels, and is one of the largest Parliament buildings in the world. Every material used in the building's construction was sourced from Hungary except for the marble capitals, which were imported from Sweden. Visitors can admire the Danube River, which flows beside it."
171,Western wall,Israel,Asia,2,"The Western Wall, also known as the Wailing Wall, is a sacred site in Jerusalem's Old City. It is considered the holiest place where Jews can pray and is believed to be the only remaining part of the Second Temple, which was destroyed by the Romans in 70 CE. Visitors can leave notes with prayers or wishes in the cracks of the wall. The Western Wall has also been the site of many historic events, including visits by world leaders."
82,Pyramids of Giza,Egypt,Africa,0,"The Pyramids of Giza are a group of three ancient pyramids located in Giza, Egypt, just outside of Cairo. They were built during the 26th century BCE as tombs for Pharaohs Khufu, Khafre, and Menkaure. The Great Pyramid of Khufu is the largest and most famous of the three, standing at over 146 meters tall and being the tallest structure in the world for 4000 years. The pyramids are considered engineering marvels due to their size, precise measurements, and the techniques used to build them."
16,Charles Bridge,Czech Republic,Europe,1,"The Charles Bridge is a historic bridge in Prague, Czech Republic, spanning the Vltava River. Built in the 14th century, the bridge is adorned with thirty Baroque-style statues of religious figures, and is considered one of the finest examples of Gothic architecture in Europe. Legend says that egg yolks were mixed into the mortar used to construct the bridge to make it more durable."
173,Sheikh Zayed Mosque,UAE,Asia,1,"The Sheikh Zayed Mosque is a grand mosque located in Abu Dhabi, United Arab Emirates. It was built in 2007 and is named after the late Sheikh Zayed bin Sultan Al Nahyan, the founder and first president of the UAE. The mosque features 82 domes and four minarets, and is the largest mosque in the country, able to accommodate over 41,000 worshippers. The mosque also houses the world's largest handmade carpet, which measures over 5,600 square meters."
95,Uluru/Ayers Rock,Australia,Oceania,0,"Uluru, also known as Ayers Rock, is a massive sandstone rock formation located in the Australian Outback. It is sacred to the local Aboriginal people and is considered a spiritual site. Surrounded by vast red desert landscape, Uluru is 348 meters tall and has a circumference of 9.4 kilometers, making it one of the largest monoliths in the world. Visitors can watch the rock change colors at sunrise and sunset, and learn about its significance to the Anangu people."
67,Machu Picchu,Peru,South America,0,"Machu Picchu is an ancient Incan city located high in the Andes Mountains of Peru. It was built in the 15th century and abandoned during the Spanish Conquest. The site was rediscovered in 1911 and is now a UNESCO World Heritage Site. Machu Picchu is renowned for its stunning architecture, with buildings constructed without the use of mortar and with intricate stone carvings"
132,The Grand Palace,Thailand,Asia,1,"The Grand Palace is a majestic complex of buildings located in Bangkok, Thailand. It served as the official residence of the Kings of Siam since 1782 until 1925 and is now used for ceremonial purposes. The Grand Palace is a stunning example of Thai architecture and design, with intricate details, rich colors, and elaborate patterns adorning the buildings and the grounds. The complex features the Wat Phra Kaew temple, which houses the famous Emerald Buddha statue."
